,name,address,sido,gungu
0,강원강릉시내곡점,,강원도,강릉시
1,강원강릉시사천해변점,,강원도,강릉시
2,강원강릉시솔올점,,강원도,강릉시
3,강원강릉시입암점,,강원도,강릉시
4,강원강릉시주문진점,,강원도,강릉시
5,강원강릉시초당점,,강원도,강릉시
6,강원강릉시포남1점,,강원도,강릉시
7,강원강릉시홍제점,,강원도,강릉시
8,강원동해시망상점,,강원도,동해시
9,강원동해시부곡점,,강원도,동해시
10,강원동해시천곡점,,강원도,동해시
11,강원동해시효가점,,강원도,동해시
12,강원삼척시교동점,,강원도,삼척시
13,강원속초시교동점,,강원도,속초시
14,강원속초시금호점,,강원도,속초시
15,강원속초시조양점,,강원도,속초시
16,강원양구군동면점,,강원도,양구군
17,강원양구군방산점,,강원도,양구군
18,강원양구군양구점,,강원도,양구군
19,강원양양군양양점,,강원도,양양군
20,강원양양군하조대점,,강원도,양양군
21,강원영월군영월점,,강원도,영월군
22,강원원주시개운단구점,,강원도,원주시
23,강원원주시단계점,,강원도,원주시
24,강원원주시단관점,,강원도,원주시
25,강원원주시명륜점,,강원도,원주시
26,강원원주시무실점,,강원도,원주시
27,강원원주시문막점,,강원도,원주시
28,강원원주시반곡봉산점,,강원도,원주시
29,강원원주시태장점,,강원도,원주시
30,강원원주시혁신도시점,,강원도,원주시
31,강원인제군서화점[B],,강원도,인제군
32,강원인제군신남점,,강원도,인제군
33,강원인제군인제점,,강원도,인제군
34,강원인제군현리점,,강원도,인제군
35,강원정선군정선점,,강원도,정선군
36,강원철원군내대리점,,강원도,철원군
37,강원철원군동송점,,강원도,철원군
38,강원철원군신철원점,,강원도,철원군
39,강원철원군와수리점,,강원도,철원군
40,강원철원군자등리점,,강원도,철원군
41,강원철원군지경리점,,강원도,철원군
42,강원춘천시강북점,,강원도,춘천시
43,강원춘천시교동후평점,,강원도,춘천시
44,강원춘천시석사점,,강원도,춘천시
45,강원춘천시칠전송암점,,강원도,춘천시
46,강원춘천시퇴계점,,강원도,춘천시
47,강원춘천시효자점,,강원도,춘천시
48,강원태백시장성점,,강원도,태백시
49,강원태백시태백점,,강원도,태백시
50,강원평창군대관령점,,강원도,평창군
51,강원평창군봉평점,,강원도,평창군
52,강원평창군장평점,,강원도,평창군
53,강원평창군진부점,,강원도,평창군
54,강원홍천군대명비발디점,,강원도,홍천군
55,강원홍천군시동점,,강원도,홍천군
56,강원홍천군홍천점,,강원도,홍천군
57,강원화천군다목리점,,강원도,화천군
58,강원화천군사내점,,강원도,화천군
59,강원화천군산양리점,,강원도,화천군
60,강원화천군화천점,,강원도,화천군
61,강원횡성군횡성점,,강원도,횡성군
62,경기가평군가평점,,경기도,가평군
63,경기가평군북면점,,경기도,가평군
64,경기가평군청평점,,경기도,가평군
65,경기가평군현리점,,경기도,가평군
66,경기고양시가좌점,,경기도,고양시
67,경기고양시고양동점,,경기도,고양시
68,경기고양시관산점,,경기도,고양시
69,경기고양시능곡점,,경기도,시흥시
70,경기고양시대화점,,경기도,고양시
71,경기고양시덕이점,,경기도,고양시
72,경기고양시라페스타점,,경기도,고양시
73,경기고양시문촌점,,경기도,고양시
74,경기고양시백마점,,경기도,고양시
75,경기고양시백석1점,,경기도,고양시
76,경기고양시성사점,,경기도,고양시
77,경기고양시성석점,,경기도,고양시
78,경기고양시식사동점,,경기도,고양시
79,경기고양시신원점,,경기도,고양시
80,경기고양시일산점,,경기도,고양시
81,경기고양시주교점,,경기도,고양시
82,경기고양시주엽1점,,경기도,고양시
83,경기고양시중산점,,경기도,고양시
84,경기고양시풍동점,,경기도,고양시
85,경기고양시행신2점,,경기도,고양시
86,경기고양시행신3점,,경기도,고양시
87,경기고양시화정1점,,경기도,고양시
88,경기고양시화정2점,,경기도,고양시
89,경기과천시과천1점,,경기도,과천시
90,경기광명시광명사거리점,,경기도,광명시
91,경기광명시광명시장점,,경기도,광명시
92,경기광명시광명KTX역점,,경기도,광명시
93,경기광명시소하점,,경기도,광명시
94,경기광명시철산역점,,경기도,광명시
95,경기광명시철산점,,경기도,광명시
96,경기광명시하안점,,경기도,광명시
97,경기광주시곤지암점,,경기도,광주시
98,경기광주시광주점,,경기도,광주시
99,경기광주시신현점,,경기도,광주시
100,경기광주시양벌점,,경기도,광주시
101,경기광주시오포2호점,,경기도,광주시
102,경기광주시태전점,,경기도,광주시
103,경기구리시교문점,,경기도,구리시
104,경기구리시수택점,,경기도,구리시
105,경기구리시인창점,,경기도,구리시
106,경기군포시군포점,,경기도,군포시
107,경기군포시금정점,,경기도,군포시
108,경기군포시대야미점,,경기도,군포시
109,경기군포시산본목련점,,경기도,군포시
110,경기군포시산본역점[B],,경기도,군포시
111,경기김포시고촌점,,경기도,김포시
112,경기김포시김포1호점,,경기도,김포시
113,경기김포시마송점,,경기도,김포시
114,경기김포시양곡점,,경기도,김포시
115,경기김포시장기점,,경기도,김포시
116,경기김포시풍무점,,경기도,김포시
117,경기남양주시광릉내점,,경기도,남양주시
118,경기남양주시금곡점,,경기도,남양주시
119,경기남양주시덕소2호점,,경기도,남양주시
120,경기남양주시덕소점[B],,경기도,남양주시
121,경기남양주시도농점,,경기도,남양주시
122,경기남양주시별내2호점,,경기도,남양주시
123,경기남양주시별내점,,경기도,남양주시
124,경기남양주시사능점,,경기도,남양주시
125,경기남양주시수동점,,경기도,남양주시
126,경기남양주시오남리점,,경기도,남양주시
127,경기남양주시월산점,,경기도,남양주시
128,경기남양주시진접지구점,,경기도,남양주시
129,경기남양주시창현점,,경기도,남양주시
130,경기남양주시천마산점,,경기도,남양주시
131,경기남양주시퇴계원점,,경기도,남양주시
132,경기남양주시평내점,,경기도,남양주시
133,경기남양주시호평점,,경기도,남양주시
134,경기동두천시생연점,,경기도,동두천시
135,경기동두천시송내지구점,,경기도,동두천시
136,경기동두천시중앙점,,경기도,동두천시
137,경기부천시고강점,,경기도,부천시
138,경기부천시범박점,,경기도,부천시
139,경기부천시상동북부점,,경기도,부천시
140,경기부천시상동점,,경기도,부천시
141,경기부천시소사점,,경기도,부천시
142,경기부천시송내점,,경기도,부천시
143,경기부천시심곡북부점,,경기도,부천시
144,경기부천시심곡점,,경기도,부천시
145,경기부천시여월점,,경기도,부천시
146,경기부천시역곡남부점,,경기도,부천시
147,경기부천시역곡점,,경기도,부천시
148,경기부천시오정점,,경기도,부천시
149,경기부천시원미점,,경기도,부천시
150,경기부천시원종점,,경기도,부천시
151,경기부천시중동1점,,경기도,부천시
152,경기부천시중동약대점,,경기도,부천시
153,경기성남시구미점,,경기도,성남시
154,경기성남시금광점,,경기도,성남시
155,경기성남시단대오거리점,,경기도,성남시
156,경기성남시동판교점[B],,경기도,성남시
157,경기성남시상대원점,,경기도,성남시
158,경기성남시서판교점,,경기도,성남시
159,경기성남시서현점[B],,경기도,성남시
160,경기성남시성남점,,경기도,성남시
161,경기성남시수내점[B],,경기도,성남시
162,경기성남시수진점,,경기도,성남시
163,경기성남시신흥점,,경기도,성남시
164,경기성남시야탑점,,경기도,성남시
165,경기성남시위례중앙점,,경기도,성남시
166,경기성남시이매점,,경기도,성남시
167,경기성남시정자2호점,,경기도,성남시
168,경기성남시정자점,,경기도,성남시
169,경기성남시태평점,,경기도,성남시
170,경기수원시고색오목점,,경기도,수원시
171,경기수원시곡반정점,,경기도,수원시
172,경기수원시광교1호점,,경기도,수원시
173,경기수원시구운탑동점,,경기도,수원시
174,경기수원시권선점[B],,경기도,수원시
175,경기수원시매교세류점,,경기도,수원시
176,경기수원시매탄2동점,,경기도,수원시
177,경기수원시매탄권선점,,경기도,수원시
178,경기수원시세류2호점,,경기도,수원시
179,경기수원시신매탄점,,경기도,수원시
180,경기수원시신영통점,,경기도,수원시
181,경기수원시연무점[B],,경기도,수원시
182,경기수원시영통1호점,,경기도,수원시
183,경기수원시영화점[B],,경기도,수원시
184,경기수원시우만점,,경기도,수원시
185,경기수원시율천점,,경기도,수원시
186,경기수원시인계점,,경기도,수원시
187,경기수원시인계중앙점,,경기도,수원시
188,경기수원시정자1동점,,경기도,수원시
189,경기수원시정자2동점,,경기도,수원시
190,경기수원시조원점,,경기도,수원시
191,경기수원시호매실점,,경기도,수원시
192,경기수원시화서꽃뫼점[B],,경기도,수원시
193,경기수원시화서점,,경기도,수원시
194,경기시흥시거모점[B],,경기도,시흥시
195,경기시흥시능곡점,,경기도,시흥시
196,경기시흥시목감점,,경기도,시흥시
197,경기시흥시시화점,,경기도,시흥시
198,경기시흥시신천점[B],,경기도,시흥시
199,경기시흥시연성2지구점,,경기도,시흥시
200,경기시흥시오이도역점,,경기도,시흥시
201,경기시흥시월곶점,,경기도,시흥시
202,경기시흥시은행점,,경기도,시흥시
203,경기시흥시정왕점,,경기도,시흥시
204,경기안산시본오1호점,,경기도,안산시
205,경기안산시본오2호점,,경기도,안산시
206,경기안산시사동점,,경기도,안산시
207,경기안산시선부1동점,,경기도,안산시
208,경기안산시선부1점,,경기도,안산시
209,경기안산시신길지구점,,경기도,안산시
210,경기안산시신도시점,,경기도,안산시
211,경기안산시와동점,,경기도,안산시
212,경기안산시원곡점,,경기도,안산시
213,경기안산시월피점,,경기도,안산시
214,경기안산시일동점,,경기도,안산시
215,경기안산시중앙점[B],,경기도,안산시
216,경기안산시초지점,,경기도,안산시
217,경기안성시공도2점,,경기도,안성시
218,경기안성시동아방송대점,,경기도,안성시
219,경기안성시안성1점[B],,경기도,안성시
220,경기안성시일죽점,,경기도,안성시
221,경기안성시죽산점,,경기도,안성시
222,경기안성시중앙대점[B],,경기도,안성시
223,경기안성시홍익점,,경기도,안성시
224,경기안양시관양비산점,,경기도,안양시
225,경기안양시관양지구점,,경기도,안양시
226,경기안양시박달점,,경기도,안양시
227,경기안양시비산1호점,,경기도,안양시
228,경기안양시석수점,,경기도,안양시
229,경기안양시안양1호점,,경기도,안양시
230,경기안양시안양2호점,,경기도,안양시
231,경기안양시평촌1호점,,경기도,안양시
232,경기안양시평촌2호점,,경기도,안양시
233,경기안양시호계2호점,,경기도,안양시
234,경기안양시호계갈산점,,경기도,안양시
235,경기안양시호계오전점,,경기도,안양시
236,경기양주시고읍지구점,,경기도,양주시
237,경기양주시광적점,,경기도,양주시
238,경기양주시덕계점,,경기도,양주시
239,경기양주시덕정점,,경기도,양주시
240,경기양주시백석점,,경기도,양주시
241,경기양주시송추점,,경기도,양주시
242,경기양주시신산점,,경기도,양주시
243,경기양주시은현점,,경기도,양주시
244,경기양주시장흥점,,경기도,양주시
245,경기양평군양평점,,경기도,양평군
246,경기양평군용두리점,,경기도,양평군
247,경기양평군용문점,,경기도,양평군
248,경기양평군한화리조트점,,경기도,양평군
249,경기여주시가남점,,경기도,여주시
250,경기여주시여주점,,경기도,여주시
251,경기여주시오학점,,경기도,여주시
252,경기연천군군남점,,경기도,연천군
253,경기연천군대광리점,,경기도,연천군
254,경기연천군백학점,,경기도,연천군
255,경기연천군연천점,,경기도,연천군
256,경기연천군전곡점,,경기도,연천군
257,경기오산시궐동점,,경기도,오산시
258,경기오산시세교신도시점,,경기도,오산시
259,경기오산시운암1점,,경기도,오산시
260,경기오산시원동갈곶점,,경기도,오산시
261,경기용인시강남대점,,경기도,용인시
262,경기용인시구성점,,경기도,용인시
263,경기용인시동백지구점,,경기도,용인시
264,경기용인시둔전점[B],,경기도,용인시
265,경기용인시모현점,,경기도,용인시
266,경기용인시백암점,,경기도,용인시
267,경기용인시보라점,,경기도,용인시
268,경기용인시상갈점,,경기도,용인시
269,경기용인시상현점,,경기도,용인시
270,경기용인시서천점,,경기도,용인시
271,경기용인시수지2지구점,,경기도,용인시
272,경기용인시신갈점,,경기도,용인시
273,경기용인시신봉점,,경기도,용인시
274,경기용인시양지점,,경기도,용인시
275,경기용인시용인1호점,,경기도,용인시
276,경기용인시죽전1호점,,경기도,용인시
277,경기용인시죽전2호점,,경기도,용인시
278,경기용인시풍덕천점,,경기도,용인시
279,경기용인시흥덕지구점[B],,경기도,용인시
280,경기의왕시내손동점,,경기도,의왕시
281,경기의왕시부곡점,,경기도,의왕시
282,경기의정부시가능2점,,경기도,의정부시
283,경기의정부시가능3점,,경기도,의정부시
284,경기의정부시금오점,,경기도,의정부시
285,경기의정부시금오지구점,,경기도,의정부시
286,경기의정부시녹양점,,경기도,의정부시
287,경기의정부시망월사역점,,경기도,의정부시
288,경기의정부시민락용현점,,경기도,의정부시
289,경기의정부시신곡점,,경기도,의정부시
290,경기의정부시신시가지점,,경기도,의정부시
291,경기의정부시의정부1점,,경기도,의정부시
292,경기의정부시장암점,,경기도,의정부시
293,경기의정부시호원점,,경기도,의정부시
294,경기이천시갈산점,,경기도,이천시
295,경기이천시관고동점,,경기도,이천시
296,경기이천시아미점,,경기도,이천시
297,경기파주시광탄점,,경기도,파주시
298,경기파주시금촌2동점,,경기도,파주시
299,경기파주시문산점,,경기도,파주시
300,경기파주시법원점,,경기도,파주시
301,경기파주시봉일천점,,경기도,파주시
302,경기파주시선유점,,경기도,파주시
303,경기파주시운정1점,,경기도,파주시
304,경기파주시운정3점,,경기도,파주시
305,경기파주시적성점,,경기도,파주시
306,경기파주시LCD점,,경기도,파주시
307,경기평택시비전1호점,,경기도,평택시
308,경기평택시세교점,,경기도,평택시
309,경기평택시소사벌점,,경기도,평택시
310,경기평택시안중점,,경기도,평택시
311,경기평택시용이지구점,,경기도,평택시
312,경기평택시이충장당점,,경기도,평택시
313,경기평택시지산점,,경기도,평택시
314,경기평택시청북점,,경기도,평택시
315,경기평택시팽성점[B],,경기도,평택시
316,경기평택시포승점,,경기도,평택시
317,경기포천시가산점,,경기도,포천시
